id,price
188533,20428.840901452695
188534,79979.16513611475
188535,47361.25878043514
188536,42745.155878490266
188537,32710.55812000233
188538,18233.272263612605
188539,12170.412666230985
188540,47359.342003845675
188541,74911.52129048042
188542,34361.99899534183
188543,22620.728925189072
188544,12873.614007354507
188545,52147.2568659557
188546,104478.22482409838
188547,17791.333240516615
188548,111758.37270339977
188549,24452.109010738855
188550,11462.913626454443
188551,91264.02402756689
188552,56756.14307998201
188553,60133.24338065057
188554,26405.689661925542
188555,43861.45476212992
188556,22754.070117352254
188557,21213.768895483507
188558,65818.73095203307
188559,23555.582274732074
188560,15148.63408743728
188561,82267.25662776578
188562,26419.3679419296
188563,85372.93313014522
188564,47570.72160289893
188565,41561.9338119816
188566,34837.16423882146
188567,15574.632141405233
188568,56523.19271404897
188569,26571.971892589063
188570,18380.840949046968
188571,31750.56118444002
188572,124503.06964250503
188573,22980.692616103952
188574,35684.91765149467
188575,51468.26099019475
188576,33834.022449470416
188577,12559.670509296664
188578,32109.22665013731
188579,54378.368928891345
188580,53322.27982441339
188581,95001.75724559138
188582,26827.96808154538
188583,105881.95408256803
188584,30912.342833239476
188585,39567.93279729541
188586,36370.98423424078
188587,59352.62845354611
188588,28808.814096618084
188589,15653.73995689872
188590,22087.198444046484
188591,25392.67758456311
188592,32288.14931880928
188593,36510.90005303808
188594,61607.78524740857
188595,27211.21636367256
188596,46695.21231184302
188597,29672.17156336223
188598,30600.18876129792
188599,16986.663809788897
188600,42633.32096698732
188601,48413.81532967019
188602,37593.526772347606
188603,85074.47597218
188604,12448.930915984582
188605,35141.06749045036
188606,37326.70399230383
188607,84915.69976152576
188608,20873.226143652115
188609,50225.31335575723
188610,40788.47768526916
188611,24669.38480082092
188612,80271.44122242078
188613,25905.879427048254
188614,17223.08636273965
188615,37194.89736252584
188616,57576.66440427572
188617,42261.96629594613
188618,23378.41461885425
188619,78681.31640387484
188620,15047.49335937366
188621,26212.43890659443
188622,140432.86403683535
188623,72759.55507048854
188624,41278.60395142023
188625,25687.6490348824
188626,15235.83872223127
188627,110325.8009100697
188628,70545.33906693026
188629,19753.8627327495
188630,30924.227596919474
188631,60430.32270011463
188632,48971.187485550545
188633,52486.3947824905
188634,12908.524823713038
188635,30963.182018829764
188636,57931.73641112759
188637,13243.018198542717
188638,50533.62954897651
188639,23771.38528063983
188640,14090.15701297728
188641,32947.14565095366
188642,14939.424368176955
188643,88309.83058899528
188644,105189.69022786224
188645,58350.707944997535
188646,12099.469763458326
188647,21239.912024405316
188648,26719.840596652113
188649,34382.45803366999
188650,111773.31270006351
188651,48543.04899823532
188652,58381.870242880286
188653,79125.4403332065
188654,12045.969657306297
188655,16936.058758399708
188656,32764.320384166378
188657,36967.59534038529
188658,13875.583178697332
188659,55699.07147284604
188660,13103.249086216063
188661,81345.69512452648
188662,12951.299030284245
188663,18896.617948548235
188664,72142.149300049
188665,149458.9703551799
188666,24274.95718596678
188667,13934.108605809204
188668,15486.55217834633
188669,30928.98997394505
188670,56859.887469298854
188671,20878.393138824857
188672,20294.97462800059
188673,61999.991869253674
188674,13854.863329370826
188675,22473.540637519414
188676,46043.70992758964
188677,12358.0917830689
188678,32681.90748948042
188679,36240.98108661725
188680,51399.94593526944
188681,17609.161636849283
188682,17059.892646663728
188683,11620.552701313565
188684,73351.81804769597
188685,42525.5179378965
188686,118414.95483658483
188687,19585.37748268748
188688,38004.37133789776
188689,12099.778903901517
188690,27139.492473463833
188691,40799.965219882906
188692,32288.192804720347
188693,12534.17253098196
188694,17900.31306036423
188695,22751.089684455317
188696,70276.80244559809
188697,31427.098103853343
188698,24090.852147705064
188699,59455.914406861935
188700,105196.93947068113
188701,30862.513789264092
188702,19209.72889525161
188703,88268.17893651556
188704,44531.07947932724
188705,25900.509499973436
188706,85015.67507626631
188707,15627.885666182916
188708,24257.231808689787
188709,15808.031116364014
188710,24966.539708719178
188711,32576.94750795595
188712,50199.66926648123
188713,36094.97211212325
188714,25269.58050839843
188715,37413.1080246257
188716,82550.61779509927
188717,15354.446639570237
188718,21030.41416350388
188719,51783.65296620848
188720,17217.058894912352
188721,69537.06737780705
188722,57864.92427038044
188723,26982.88442949468
188724,28243.506620873315
188725,14716.791638697458
188726,43578.9684398487
188727,16821.435882289483
188728,53348.870484260835
188729,17832.24619280216
188730,64533.20878183454
188731,59221.70616550411
188732,34053.87325541831
188733,18448.294303367955
188734,13869.305334932982
188735,11316.43588128605
188736,12132.304790424432
188737,85559.19324297225
188738,90060.35975188483
188739,52157.557337772596
188740,84295.13072274445
188741,37006.29479553356
188742,22948.10348083435
188743,49978.80056406963
188744,61665.27366151345
188745,68208.17854862486
188746,34211.82853420387
188747,36635.048568997816
188748,18885.58102825554
188749,48132.04402939197
188750,11624.528955830317
188751,46206.59265177961
188752,101589.97794332498
188753,14242.383044289549
188754,53304.70628165441
188755,57935.34563855357
188756,37055.06498373697
188757,22827.718464950325
188758,13549.384072197647
188759,18894.76074666484
188760,12542.527872400213
188761,37912.12819734951
188762,44378.20373701743
188763,35060.285979161614
188764,15697.252968211942
188765,61483.87846521572
188766,32426.149533101758
188767,13531.693679756116
188768,31904.883321076
188769,163573.45701021075
188770,42345.01231044123
188771,16396.545746548498
188772,11340.572554480681
188773,43605.303970243775
188774,52150.452231721974
188775,47037.20456027732
188776,14328.833927205418
188777,33987.8858550238
188778,23568.040648098573
188779,80274.78345230053
188780,56142.83118573784
188781,78355.62292505326
188782,17855.862184096295
188783,16628.803844001366
188784,38516.56666852373
188785,28043.507418334542
188786,37927.33957380147
188787,12911.640271216254
188788,17853.609419484514
188789,45529.86565294585
188790,12180.510124802342
188791,11377.475230932758
188792,68240.96066517985
188793,25579.150126919394
188794,15495.261262161315
188795,155920.92908872166
188796,22309.67542498242
188797,78895.90419507094
188798,18629.645048976425
